timeOnIce,goals,assists,plusMinus,powerPlayGoals,shots,hits,penaltyMinutes,points
772.0,0.2,0.0,-0.4,0.2,1.8,1.2,0.4,1.0
784.2,0.2,0.0,-0.2,0.0,1.6,1.2,0.4,1.0
767.8,0.2,0.2,0.2,0.0,1.0,2.0,0.4,0.0
784.0,0.2,0.2,0.2,0.0,1.0,2.2,0.4,0.0
803.2,0.2,0.2,0.4,0.0,0.8,2.0,0.0,0.0
833.4,0.2,0.2,0.4,0.0,0.6,1.6,0.0,0.0
841.6,0.0,0.2,0.2,0.0,0.6,1.8,0.0,0.0
837.6,0.0,0.0,0.2,0.0,0.4,1.4,0.0,0.0
820.4,0.0,0.0,0.2,0.0,0.8,1.2,0.0,0.0
801.0,0.0,0.0,0.0,0.0,0.6,1.8,0.0,1.0
774.6,0.2,0.0,0.2,0.0,1.0,1.8,0.0,0.0
754.0,0.2,0.0,-0.2,0.0,1.6,1.4,0.0,1.0
763.8,0.2,0.0,-0.4,0.0,2.0,0.6,0.0,0.0
812.4,0.2,0.0,-1.0,0.0,2.0,0.8,0.0,1.0
821.6,0.2,0.2,-0.8,0.0,2.2,1.0,0.0,1.0
846.2,0.0,0.4,-0.2,0.0,2.2,1.0,0.0,0.0
847.2,0.0,0.4,0.0,0.0,2.2,0.8,0.0,0.0
838.6,0.0,0.4,0.0,0.0,1.6,1.0,0.0,0.0
847.6,0.0,0.4,0.6,0.0,1.2,1.2,0.0,3.0
889.8,0.4,0.4,0.8,0.0,1.8,1.0,0.0,0.0
884.0,0.4,0.2,0.4,0.0,1.6,0.6,0.4,0.0
937.2,0.4,0.2,0.2,0.0,1.8,0.8,0.4,0.0
902.8,0.4,0.2,0.0,0.0,2.2,0.8,0.4,0.0
829.4,0.4,0.2,-0.4,0.0,2.2,0.6,0.8,1.0
803.0,0.0,0.2,-0.6,0.0,1.6,0.8,0.8,0.0
765.6,0.0,0.2,-0.4,0.0,1.6,0.8,0.4,0.0
646.2,0.0,0.2,-0.2,0.0,1.2,0.6,0.4,0.0
658.0,0.0,0.2,-0.2,0.0,1.0,0.6,0.8,1.0
689.2,0.0,0.4,-0.2,0.0,1.2,0.4,0.4,0.0
679.4,0.0,0.2,-0.8,0.0,0.8,0.4,0.4,0.0
706.0,0.0,0.2,-1.0,0.0,0.8,0.6,0.4,0.0
721.4,0.0,0.2,-1.2,0.0,1.0,0.6,0.4,0.0
744.0,0.0,0.2,-1.2,0.0,0.6,0.6,0.0,0.0
